Description,Monthly_Installment,List_Price,Model,Mileage,Gear_Type,Location
"2021 Volvo XC60 2.0 Recharge T8 Inscription Plus SUV - UNDER WARRANTY UNTIL 2026 (GENUINE 79K KM MILEAGE WITH FULL SERVICE RECORD, ACCIDENT FLODD FREE)","RM 1,919 / month","RM 148,000",Volvo XC60,75 - 80K KM,Automatic,"Kuala Lumpur, Setapak"
2009/2011 Toyota Wish 1.8 X MPV,RM 464 / month,"RM 35,800",Toyota Wish,110 - 115K KM,Automatic,"Johor, Johor Bahru"
2014/2015 Volkswagen Passat 1.8 TSI Sedan,RM 270 / month,"RM 20,800",Volkswagen Passat,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2020 BMW 218i 1.5 M Sport Coupe,"RM 1,216 / month","RM 93,800",BMW 218i,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2019 Toyota Vios 1.5 G Sedan,RM 723 / month,"RM 55,800",Toyota Vios,60 - 65K KM,Automatic,"Johor, Johor Bahru"
2022 Honda CR-V 1.5 TC-P SUV - UNDER WARRANTY UNTIL 2027 (GENUINE 76K KM MILEAGE ONE WELL MAINTAINED OWNER WITH FULL SERVICE RECORD CAR KING GRADE),"RM 1,361 / month","RM 105,000",Honda CR-V,75 - 80K KM,Automatic,"Kuala Lumpur, Setapak"
2017 Toyota Hilux 2.8 G Dual Cab Pickup,"RM 1,073 / month","RM 82,800",Toyota Hilux,105 - 110K KM,Automatic,"Johor, Johor Bahru"
2019 Proton X70 1.8 Executive SUV,RM 594 / month,"RM 45,800",Proton X70,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2015 Mercedes-Benz CLA200 1.6 Sedan,RM 775 / month,"RM 59,800",Mercedes-Benz CLA200,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2009 BMW 320i 2.0 Sedan - E90,RM 257 / month,"RM 19,800",BMW 320i,195 - 200K KM,Automatic,"Johor, Johor Bahru"
2017 Mercedes-Benz C180 1.6 AMG Sports Package Sedan - (GENUINE 65K KM MILEAGE WITH FULL SERVICE RECORD) FULL SAFETY FEATURES ACCIDENT FLOOD FREE,"RM 1,190 / month","RM 91,800",Mercedes-Benz C180,65 - 70K KM,Automatic,"Kuala Lumpur, Setapak"
2023 Perodua Alza 1.5 AV MPV,RM 827 / month,"RM 63,800",Perodua Alza,20 - 25K KM,Automatic,"Johor, Johor Bahru"
"2019 MINI Countryman 2.0 Cooper S Sports SUV - 38K KM MILEAGE ONLY WITH FULL SERVICE RECORD, CAR KING CONDITION, ACCIDENT FLOOD FREE CERTIFIED-","RM 1,385 / month","RM 106,800",MINI Countryman,35 - 40K KM,Automatic,"Kuala Lumpur, Setapak"
2024 Mazda CX-8 2.5 SKYACTIV-G High Plus SUV - 4WD TURBO FULL SERVICE RECORD UNDER WARRANTY 6K-MILEAGE ONLY,"RM 2,172 / month","RM 167,499",Mazda CX-8,0 - 5K KM,Automatic,"Selangor, Kajang"
2024 Perodua Alza 1.5 AV MPV - FULL SERVICE RECORD 20K MILEAGE,RM 840 / month,"RM 64,800",Perodua Alza,20 - 25K KM,Automatic,"Selangor, Puchong"
2021 Toyota Hilux 2.8 Rogue Dual Cab Pickup - 1 OWNER GENUINE MILEAGE FULL SERVICES RECORD,"RM 1,385 / month","RM 106,800",Toyota Hilux,105 - 110K KM,Automatic,"Selangor, Cheras"
2018 Nissan Almera 1.5 E Sedan,RM 360 / month,"RM 27,800",Nissan Almera,40 - 45K KM,Automatic,"Johor, Johor Bahru"
2020 Lexus RX 300 2.0 F Sport SUV - TURBO HUD BSM 4 CAMERA MEMORY ELECTRIC LEATHER SEATS POWER BOOT BLACK AND WHITE INTERIOR 1 OWNER ORIGINAL MILEAGE,"RM 2,564 / month","RM 197,800",Lexus RX 300,60 - 65K KM,Automatic,"Selangor, Cheras"
2021 Proton Exora 1.6 Premium MPV - CAR,RM 441 / month,"RM 33,999",Proton Exora,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2022 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV,"RM 2,450 / month","RM 189,000",Mercedes-Benz GLC300,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2021 Mazda CX-5 2.5 SKYACTIV-G High TC SUV,"RM 1,294 / month","RM 99,800",Mazda CX-5,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2022 Honda City 1.5 V Sensing Hatchback - LIKE NEW,RM 900 / month,"RM 69,400",Honda City,60 - 65K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2017 Honda City 1.5 S Sedan,RM 537 / month,"RM 41,400",Honda City,100 - 105K KM,Automatic,"Penang, Juru"
2023 Perodua Myvi 1.5 AV Hatchback,RM 679 / month,"RM 52,400",Perodua Myvi,25 - 30K KM,Automatic,"Penang, Juru"
2014/2018 MINI Cooper 1.6 Hatchback,RM 646 / month,"RM 49,800",MINI Cooper,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2020 Perodua AXIA 1.0 GXtra Hatchback - KERETA JIMAT MINYAK MUDAH PARKING BULANAN DARI RM3XX (Loan sehingga 9 Tahun),RM 401 / month,"RM 30,900",Perodua AXIA,60 - 65K KM,Automatic,"Penang, Juru"
"2020 Mazda 3 2.0 SKYACTIV-G High Sedan - KEMASAN PREMIUM PEMANDUAN DINAMIK BULANAN DARI RM9,XX (Pinjaman sehingga 9 Tahun)","RM 1,159 / month","RM 89,400",Mazda 3,105 - 110K KM,Automatic,"Penang, Juru"
2019 Perodua Bezza 1.3 X Premium Sedan,RM 433 / month,"RM 33,400",Perodua Bezza,110 - 115K KM,Automatic,"Perak, Ipoh"
2020 Perodua AXIA 1.0 Style Hatchback,RM 425 / month,"RM 32,800",Perodua AXIA,45 - 50K KM,Automatic,"Perak, Seri Manjong"
2016 Honda Civic 1.5 TC Sedan,RM 836 / month,"RM 64,500",Honda Civic,100 - 105K KM,Automatic,"Negeri Sembilan, Seremban"
2015 Mazda 2 1.5 SKYACTIV-G Sedan,RM 439 / month,"RM 33,900",Mazda 2,110 - 115K KM,Automatic,"Negeri Sembilan, Seremban"
2013 Inokom Elantra 1.6 Sedan,"RM 19,420  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 19,420"" and is now 3% below market price","-3% RM 18,900",Inokom Elantra,140963 KM,Automatic,"Selangor, Petaling Jaya"
2022 Toyota Yaris 1.5 G Hatchback,RM 867 / month,"RM 66,900",Toyota Yaris,35 - 40K KM,Automatic,"Penang, Juru"
2019 Perodua Myvi 1.5 H Hatchback - END OF YEAR SALE,RM 511 / month,"RM 39,400",Perodua Myvi,100 - 105K KM,Automatic,"Negeri Sembilan, Seremban"
2020 Perodua Aruz 1.5 X SUV,RM 679 / month,"RM 52,400",Perodua Aruz,85 - 90K KM,Automatic,"Sarawak, Kuching"
2021 Perodua Alza 1.5 EZ MPV,RM 512 / month,"RM 39,500",Perodua Alza,100 - 105K KM,Automatic,"Sarawak, Kuching"
2018 Honda Civic 1.5 TC-P Sedan - (A) 1 Year Premium Warranty,"RM 1,009 / month","RM 77,800",Honda Civic,65 - 70K KM,Automatic,"Penang, Ayer Itam"
2013 Proton Inspira 2.0 Executive Sedan,RM 362 / month,"RM 27,900",Proton Inspira,139928 KM,Automatic,"Selangor, Petaling Jaya"
2020 BMW 320i 2.0 Sport Sedan,"RM 133,846  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 133,846"" and is now 8% below market price","-8% RM 123,000",BMW 320i,85310 KM,Automatic,"Selangor, Petaling Jaya"
2015 MINI Countryman 1.6 Cooper SUV,RM 685 / month,"RM 52,800",MINI Countryman,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2013 Honda City 1.5 E Sedan,RM 309 / month,"RM 23,800",Honda City,140 - 145K KM,Automatic,"Johor, Johor Bahru"
2006 Toyota Corolla Altis 1.8 G (Metallic) Sedan - NEW FACELIFT - tip-top condition - Save petrol - engine gear box transmission smooth -,RM 166 / month,"RM 12,800",Toyota Corolla Altis,140 - 145K KM,Automatic,"Kuala Lumpur, Setapak"
2021 Land Rover Range Rover 3.0 P400 Vogue SE SUV - AUTOBIOGRAPHY (A) NEW FACELIFT PANAROMICE ROOF MERIDIAN SOUND SYSTEM AUTO SIDE STEP POWER BOOT,"RM 5,183 / month","RM 399,800",Land Rover Range Rover,45 - 50K KM,Automatic,"Kuala Lumpur, Setapak"
2015/2016 Mercedes-Benz S400 3.5 Hybrid Sedan - L,RM 892 / month,"RM 68,800",Mercedes-Benz S400,145 - 150K KM,Automatic,"Johor, Johor Bahru"
2017 Mercedes-Benz E350e 2.0 Exclusive Line Sedan,RM 944 / month,"RM 72,800",Mercedes-Benz E350e,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2018 Mazda CX-5 2.0 SKYACTIV-G GLS SUV,RM 905 / month,"RM 69,800",Mazda CX-5,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2020 Perodua Myvi 1.5 H Hatchback,RM 451 / month,"RM 34,800",Perodua Myvi,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2013/2016 Toyota Estima 2.4 Aeras MPV - 43K KM MILEAGE,RM 892 / month,"RM 68,800",Toyota Estima,40 - 45K KM,Automatic,"Johor, Johor Bahru"
2019 Nissan Serena 2.0 S-Hybrid High-Way Star Premium MPV - GOOD CONDITION HARI RAYA OFFER,RM 839 / month,"RM 64,700",Nissan Serena,115 - 120K KM,Automatic,"Selangor, Puchong"
2018 Toyota Harrier 2.0 Elegance SUV - 360 CAMERA POWER BOOT GENUINE MILEAGE WITH FULL SERVICE RECORD ACCIDENT FLOOD FREE CERTIFIED,"RM 1,190 / month","RM 91,800",Toyota Harrier,105 - 110K KM,Automatic,"Kuala Lumpur, Setapak"
2010 Perodua Alza 1.5 EZi MPV,RM 244 / month,"RM 18,800",Perodua Alza,140 - 145K KM,Automatic,"Johor, Johor Bahru"
2023/2024 Ford Ranger 2.0 Wildtrak Dual Cab Pickup - GENUINE 22K KM MILEAGE ONLY UNDER WARRANTY UNTIL 2029 WITH FULL SERVICE RECORD 360 CAMERA BSM,"RM 1,627 / month","RM 125,500",Ford Ranger,20 - 25K KM,Automatic,"Kuala Lumpur, Setapak"
2011 Honda Accord 2.0 VTi-L Sedan,RM 309 / month,"RM 23,800",Honda Accord,165 - 170K KM,Automatic,"Johor, Johor Bahru"
2018 Toyota Innova 2.0 X MPV - GENUINE 45K KM MILEAGE ONLY FULL SERVICE RECORD AT SERVICE CENTRE ACCIDENT FLOOD FREE CERTIFIED CAR KING,RM 970 / month,"RM 74,800",Toyota Innova,45 - 50K KM,Automatic,"Kuala Lumpur, Setapak"
2018 Honda Accord 2.4 VTi-L Advance Sedan,RM 840 / month,"RM 64,800",Honda Accord,85 - 90K KM,Automatic,"Johor, Johor Bahru"
2018 Honda Civic 1.5 TC-P Sedan - ROBOTECH BODYKIT,"RM 1,022 / month","RM 78,800",Honda Civic,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2015/2016 Mercedes-Benz E250 2.0 AMG Sport Package Sedan,RM 892 / month,"RM 68,800",Mercedes-Benz E250,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2018 BMW 530i 2.0 M Sport Sedan,"RM 1,605 / month","RM 123,800",BMW 530i,80 - 85K KM,Automatic,"Johor, Johor Bahru"
2019 Perodua Myvi 1.3 X Hatchback - (A) TIP TOP CONDITION,RM 385 / month,"RM 29,700",Perodua Myvi,55 - 60K KM,Automatic,"Selangor, Puchong"
2019 Mercedes-Benz A200 1.3 Progressive Line Sedan - BREMBO GT6 6 POT,"RM 1,644 / month","RM 126,800",Mercedes-Benz A200,65 - 70K KM,Automatic,"Johor, Johor Bahru"
2020 Mercedes-Benz GLC300 2.0 4MATIC AMG Line SUV,"RM 2,201 / month","RM 169,800",Mercedes-Benz GLC300,55 - 60K KM,Automatic,"Johor, Johor Bahru"
2012 Proton Exora 1.6 Bold CFE Premium MPV - FULL SPEC ORIGINAL PAINT ORIGINAL CONDITION WELCOME CASH BUYER,RM 140 / month,"RM 10,800",Proton Exora,160 - 165K KM,Automatic,"Kuala Lumpur, Cheras"
2014/2018 Toyota Vellfire 2.4 Z Golden Eyes MPV,"RM 1,060 / month","RM 81,800",Toyota Vellfire,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2014 Porsche Macan 3.0 S SUV - V6,"RM 1,631 / month","RM 125,800",Porsche Macan,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2019 Toyota Camry 2.5 V Sedan - MODELISTA BODYKIT,"RM 1,411 / month","RM 108,800",Toyota Camry,70 - 75K KM,Automatic,"Johor, Johor Bahru"
2020 Honda City 1.5 V Sedan - ORIGINAL PAINT ORIGINAL MILEAGE FULL SERVICE RECORD CAR KING CONDITION,RM 736 / month,"RM 56,800",Honda City,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2019 Proton X70 1.8 Premium SUV - (A) CAR KING,RM 515 / month,"RM 39,700",Proton X70,95 - 100K KM,Automatic,"Selangor, Puchong"
2021 Mercedes-Benz GLC300 2.0 4MATIC AMG Line Coupe - 4MATIC (local),"RM 2,593 / month","RM 200,000",Mercedes-Benz GLC300,125 - 130K KM,Automatic,"Selangor, Klang"
2016 Toyota Vios 1.5 E Sedan - FACELIFT JUST 1 OWNER ONLY TRD SPORT FULL BODYKIT FULL SERVICE RECORD CAR KING CONDITION,RM 438 / month,"RM 33,800",Toyota Vios,145 - 150K KM,Automatic,"Kuala Lumpur, Cheras"
2015 Honda HR-V 1.8 V SUV - FULL SPEC ANDRIOD PLAYER FULL BODYKIT SIDE STEP CONDITION LIKE NEW,RM 412 / month,"RM 31,800",Honda HR-V,130 - 135K KM,Automatic,"Kuala Lumpur, Cheras"
2020 Honda City 1.5 V Sedan - LOANKEDAI GN2 Modulo LEDheadlamps Rim16 LeatherSeat 6Airbags PaddleShift LaneWatchCamera AppleCarPlay FULLSPEC LikeNEW,RM 723 / month,"RM 55,800",Honda City,70 - 75K KM,Automatic,"Selangor, Kajang"
2019/2021 Mercedes-Benz E300 2.0 AMG Line Coupe - 2 DOOR 1 OWNER ORIGINAL PAINT CAR KING CONDITION WELCOME TO VIEW CAR,"RM 2,240 / month","RM 172,800",Mercedes-Benz E300,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Perodua Alza 1.5 Advance MPV - JUST 1 OWNER ONLY ORIGINAL PAINT LOW MILEAGE BBS SPORT RIMS WELCOME TO VIEW CAR,RM 399 / month,"RM 30,800",Perodua Alza,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Toyota Harrier 2.0 Luxury SUV - GOOD CONDITION HARI RAYA OFFER,"RM 1,268 / month","RM 97,800",Toyota Harrier,85 - 90K KM,Automatic,"Selangor, Puchong"
2018 Honda Accord 2.0 VTi-L Sedan - 1 OWNER MODULO FULL BODYKIT PERFECT CONDITION FREE 3 YEARS WARRANTY,RM 814 / month,"RM 62,800",Honda Accord,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2020 Perodua Aruz 1.5 AV SUV - FULL SPEC 7 SEATER 1 OWNER ONLY CONDITION LIKE NEW FREE 1 YEAR WARRANTY,RM 568 / month,"RM 43,800",Perodua Aruz,80 - 85K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Honda CR-V 1.5 TC SUV - 1 OWNER ORIGINAL PAINT CONDITION LIKE NEW FREE 3 YEAR WARRANTY,RM 905 / month,"RM 69,800",Honda CR-V,105 - 110K KM,Automatic,"Kuala Lumpur, Cheras"
2016 Toyota Innova 2.0 G MPV - 1 OWNER LOW MILEAGE CONDITION LIKE NEW FREE 3 YEARS WARRANTY AND TINTED,RM 697 / month,"RM 53,800",Toyota Innova,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2021 Perodua Bezza 1.3 X Sedan - FACELIFT MODEL FREE 3 YEAR WARRANTY VERY GOOD CONDITION ACCIDENT FREE FLOOD FREE,RM 438 / month,"RM 33,800",Perodua Bezza,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2022 Perodua Bezza 1.3 X Sedan - FACELIFT MODEL ORIGINAL PAINT ACCIDENT FREE FLOOD FREE TIP TOP CONDITION,RM 464 / month,"RM 35,800",Perodua Bezza,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras"
2014 Toyota Corolla Altis 2.0 V Sedan - JUST 1 OWNER ONLY ORIGINAL PAINT FULL BODYKIT PERFECT CONDITION FREE 1 YEAR WARRANTY,RM 490 / month,"RM 37,800",Toyota Corolla Altis,125 - 130K KM,Automatic,"Kuala Lumpur, Cheras"
2020 BMW X5 3.0 xDrive45e M Sport SUV - xDrive45e (local),"RM 2,139 / month","RM 165,000",BMW X5,115 - 120K KM,Automatic,"Selangor, Klang"
2017 Toyota Vios 1.5 GX Sedan - SPORT FACELIFT FULL BODYKIT 1 OWNER ONLY VERY GOOD CONDITION FREE WARRANTY,RM 542 / month,"RM 41,800",Toyota Vios,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
2021 Mitsubishi Xpander 1.5 MPV - (A) TIP TOP CONDITION,RM 709 / month,"RM 54,700",Mitsubishi Xpander,105 - 110K KM,Automatic,"Selangor, Puchong"
2016 Toyota 86 2.0 GT Coupe,"RM 1,296 / month","RM 100,000",Toyota 86,105 - 110K KM,Automatic,"Selangor, Petaling Jaya"
2019 Proton Persona 1.6 Standard Sedan,RM 342 / month,"RM 26,400",Proton Persona,105 - 110K KM,Automatic,"Perak, Ipoh"
2019 Toyota Yaris 1.5 G Hatchback,RM 731 / month,"RM 56,400",Toyota Yaris,125 - 130K KM,Automatic,"Penang, Juru"
2018 Proton Saga 1.3 Standard Sedan,RM 267 / month,"RM 20,600",Proton Saga,15 - 20K KM,Automatic,"Terengganu, Jerteh"
2018 Perodua Bezza 1.3 X Premium Sedan - FULL BODYKIT 1 OWNER LOW MILEAGE CONDITION LIKE NEW WELCOME TO VIEW CAR FREE WARRANTY TINTED FULL TANK,RM 296 / month,"RM 22,800",Perodua Bezza,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras"
2018 Proton Saga 1.3 Standard Sedan,RM 267 / month,"RM 20,600",Proton Saga,110 - 115K KM,Automatic,"Perak, Sitiawan"
2013 BMW 640i 3.0 Gran Coupe Coupe,"RM 1,206 / month","RM 93,000",BMW 640i,115 - 120K KM,Automatic,"Selangor, Petaling Jaya"
2019 Perodua Myvi 1.5 H Hatchback - KING OF HIGHWAY YANG MANTAP BULANAN DARI RM4XX (Loan sehingga 9 Tahun),RM 511 / month,"RM 39,400",Perodua Myvi,110 - 115K KM,Automatic,"Penang, Juru"
2019 Toyota Yaris 1.5 G Hatchback - PALING PADU SELESA BULANAN DARI RM6XX (Loan sehingga 8 Tahun),RM 731 / month,"RM 56,400",Toyota Yaris,125 - 130K KM,Automatic,"Penang, Juru"
2015 Proton Iriz 1.6 Premium Hatchback - BULANAN DARI RM2XX (Loan sehingga 9Tahun),RM 259 / month,"RM 20,000",Proton Iriz,135 - 140K KM,Automatic,"Penang, Perai"
2021 Perodua Bezza 1.3 X Sedan,RM 490 / month,"RM 37,800",Perodua Bezza,60 - 65K KM,Automatic,"Johor, Johor Bahru"
2021 Perodua Ativa 1.0 H SUV,RM 678 / month,"RM 52,300",Perodua Ativa,25 - 30K KM,Automatic,"Johor, Johor Bahru"
2015 Perodua AXIA 1.0 SE Hatchback - (Bulanan Rendah) (Fast Approval),RM 269 / month,"RM 20,712",Perodua AXIA,60 - 65K KM,Automatic,"Kuala Lumpur, Setiawangsa"
2013 Nissan Almera 1.5 VL Sedan,RM 258 / month,"RM 19,900",Nissan Almera,90 - 95K KM,Automatic,"Penang, Bayan Lepas"
2015 Kia Cerato 2.0 Sedan,RM 349 / month,"RM 26,900",Kia Cerato,145 - 150K KM,Automatic,"Penang, Bayan Lepas"
2018 Proton Saga 1.3 Executive Sedan,RM 303 / month,"RM 23,400",Proton Saga,55 - 60K KM,Automatic,"Penang, Bayan Lepas"
2021 Perodua Myvi 1.5 AV Hatchback,RM 594 / month,"RM 45,800",Perodua Myvi,90 - 95K KM,Automatic,"Penang, Bayan Lepas"
2021 Perodua Myvi 1.5 AV Hatchback,RM 594 / month,"RM 45,800",Perodua Myvi,90 - 95K KM,Automatic,"Penang, Bayan Lepas"
2020/2023 TESLA Model X Long Range SUV - 0.0,"RM 3,241 / month","RM 250,000",TESLA Model X,100 - 105K KM,Automatic,"Kuala Lumpur, Ampang Hilir"
2020 Perodua Aruz 1.5 AV SUV - (9 Years Loan),RM 682 / month,"RM 52,600",Perodua Aruz,95 - 100K KM,Automatic,"Johor, Johor Bahru"
2019 Perodua Bezza 1.3 X Premium Sedan - PALING JIMAT MINYAK MESRA KELUARGA BULANAN DARI RM3XX - RM4XX (Loan sehingga 9 Tahun),RM 438 / month,"RM 33,800",Perodua Bezza,85 - 90K KM,Automatic,"Penang, Butterworth"
2020 Isuzu D-Max 1.9 Premium Dual Cab 4x4 Pickup - (GOOD CONDITION) (EASY LOAN),"RM 1,037 / month","RM 80,000",Isuzu D-Max,100 - 105K KM,Automatic,"Kuala Lumpur, Setiawangsa"
2016 Proton Persona 1.6 Standard Sedan,RM 322 / month,"RM 24,800",Proton Persona,60 - 65K KM,Automatic,"Kelantan, Kota Bharu"
2020 Toyota Vios 1.5 G Sedan,RM 764 / month,"RM 58,900",Toyota Vios,70 - 75K KM,Automatic,"Penang, Juru"
2016 Honda HR-V 1.8 V SUV - (Low monthly) (CNY PROMO),RM 581 / month,"RM 44,800",Honda HR-V,145 - 150K KM,Automatic,"Kuala Lumpur, Setiawangsa"
2017 Honda City 1.5 S Sedan - JIMAT MINYAK RUANG LUAS BULANAN DARI RM5XX,RM 537 / month,"RM 41,400",Honda City,100 - 105K KM,Automatic,"Penang, Juru"
2022 Perodua Ativa 1.0 H SUV - free waratty -no hidden fee -good condition,RM 697 / month,"RM 53,800",Perodua Ativa,50 - 55K KM,Automatic,"Melaka, Melaka"
2012 Perodua Myvi 1.5 SE Hatchback - free waratty -no hidden fee -good condition,RM 277 / month,"RM 21,400",Perodua Myvi,220 - 225K KM,Automatic,"Melaka, Melaka"
2019 Mercedes-Benz AMG A35 2.0 4MATIC Sedan,"RM 2,074 / month","RM 160,000",Mercedes-Benz AMG A35,55 - 60K KM,Automatic,"Selangor, Shah Alam"
2012 Honda Civic 1.8 S Sedan,RM 441 / month,"RM 34,000",Honda Civic,150 - 155K KM,Automatic,"Johor, Johor Bahru"
2014 Proton Persona 1.6 SV Sedan,RM 194 / month,"RM 15,000",Proton Persona,105 - 110K KM,Automatic,"Johor, Johor Bahru"
2013 Perodua Viva 1.0 EZ Hatchback,RM 167 / month,"RM 12,900",Perodua Viva,110 - 115K KM,Automatic,"Johor, Johor Bahru"
2019 Mercedes-Benz C300 2.0 AMG Line Coupe - (Very Low Mileage) (Excellent Condition),"RM 142,047  Avg. mkt.                                    This car is a Hot deal because the current market average is ""RM 142,047"" and is now 1% below market price","-1% RM 140,112",Mercedes-Benz C300,30 - 35K KM,Automatic,"Kuala Lumpur, Setiawangsa"
2013 Proton Exora 1.6 Prime CFE Premium MPV,RM 246 / month,"RM 19,000",Proton Exora,200 - 205K KM,Automatic,"Perak, Lumut"
2015 Toyota Vios 1.5 G Sedan,RM 511 / month,"RM 39,400",Toyota Vios,100 - 105K KM,Automatic,"Penang, Juru"
2022 Proton Persona 1.6 Executive Sedan,RM 504 / month,"RM 38,900",Proton Persona,20 - 25K KM,Automatic,"Penang, Bayan Lepas"
2020 Proton Iriz 1.6 Premium Hatchback,RM 375 / month,"RM 28,900",Proton Iriz,25 - 30K KM,Automatic,"Penang, Bayan Lepas"
2020 Perodua Bezza 1.3 X Sedan - X,RM 464 / month,"RM 35,800",Perodua Bezza,95 - 100K KM,Automatic,"Penang, Bayan Lepas"
2022 Perodua Ativa 1.0 AV SUV,RM 752 / month,"RM 58,000",Perodua Ativa,25 - 30K KM,Automatic,"Penang, Bayan Lepas"
2021 Perodua AXIA 1.0 GXtra Hatchback,RM 420 / month,"RM 32,400",Perodua AXIA,45 - 50K KM,Automatic,"Penang, Bayan Lepas"
2019 Subaru Forester 2.0 P SUV - i-P (Full Service Record at SC till Dec 2025),RM 545 / month,"RM 42,000",Subaru Forester,155 - 160K KM,Automatic,"Perak, Tronoh"
2014 Proton Saga 1.3 FLX Standard Sedan,RM 193 / month,"RM 14,900",Proton Saga,155 - 160K KM,Automatic,"Perak, Ipoh"
2022 Toyota Hilux 2.8 Rogue Dual Cab Pickup - TIP TOP CONDITIONS,"RM 1,528 / month","RM 117,900",Toyota Hilux,25 - 30K KM,Automatic,"Kedah, Sungai Petani"
2019 Perodua Myvi 1.5 AV Hatchback,RM 532 / month,"RM 41,000",Perodua Myvi,75 - 80K KM,Automatic,"Negeri Sembilan, Seremban"
2022 Perodua Ativa 1.0 H SUV,RM 704 / month,"RM 54,300",Perodua Ativa,40 - 45K KM,Automatic,"Negeri Sembilan, Seremban"
2015 Honda Accord 2.0 VTi-L Sedan,RM 589 / month,"RM 45,400",Honda Accord,145 - 150K KM,Automatic,"Negeri Sembilan, Seremban"
2017 Nissan Almera 1.5 E Sedan,RM 375 / month,"RM 28,900",Nissan Almera,50 - 55K KM,Automatic,"Johor, Johor Bahru"
2018 Toyota Vios 1.5 E Sedan,RM 507 / month,"RM 39,100",Toyota Vios,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2017 Perodua Myvi 1.5 SE Hatchback,RM 428 / month,"RM 33,000",Perodua Myvi,115 - 120K KM,Automatic,"Johor, Johor Bahru"
2022 Perodua AXIA 1.0 GXtra Hatchback,RM 439 / month,"RM 33,900",Perodua AXIA,40 - 45K KM,Automatic,"Johor, Johor Bahru"
2019 Perodua Aruz 1.5 AV SUV,RM 635 / month,"RM 49,000",Perodua Aruz,115 - 120K KM,Automatic,"Perak, Sitiawan"
2014 Proton Saga 1.3 FLX Standard Sedan,RM 193 / month,"RM 14,900",Proton Saga,115 - 120K KM,Automatic,"Perak, Sitiawan"
2019 Perodua Bezza 1.3 X Premium Sedan,RM 452 / month,"RM 34,900",Perodua Bezza,115 - 120K KM,Automatic,"Perak, Sitiawan"
2016 Honda City 1.5 E Sedan,RM 490 / month,"RM 37,800",Honda City,95 - 100K KM,Automatic,"Perak, Sitiawan"
2014 Proton Saga 1.3 FLX Standard Sedan,RM 193 / month,"RM 14,900",Proton Saga,120 - 125K KM,Automatic,"Perak, Sitiawan"
2019 Perodua Bezza 1.3 X Premium Sedan,RM 438 / month,"RM 33,800",Perodua Bezza,95 - 100K KM,Automatic,"Perak, Sitiawan"
2022 BMW X4 2.0 xDrive30i M Sport SUV - xDrive30i (Facelift),"RM 3,086 / month","RM 238,000",BMW X4,40 - 45K KM,Automatic,"Selangor, Seri Kembangan"
2018 Volkswagen Tiguan 1.4 TSI Highline SUV,RM 646 / month,"RM 49,800",Volkswagen Tiguan,100 - 105K KM,Automatic,"Kuala Lumpur, Setiawangsa"
2015 Honda Accord 2.0 VTi-L Sedan,RM 595 / month,"RM 45,900",Honda Accord,72089 KM,Automatic,"Melaka, Melaka"
2016 Toyota Hilux 2.4 G Dual Cab Pickup - Truck,RM 971 / month,"RM 74,900",Toyota Hilux,95020 KM,Automatic,"Melaka, Melaka"
2021 Toyota Corolla Altis 1.8 G Sedan,"RM 1,153 / month","RM 88,900",Toyota Corolla Altis,76926 KM,Automatic,"Selangor, Petaling Jaya"
2019 Perodua Aruz 1.5 AV SUV,RM 640 / month,"RM 49,400",Perodua Aruz,43574 KM,Automatic,"Selangor, Petaling Jaya"
2016 Proton Persona 1.6 Executive Sedan,RM 320 / month,"RM 24,700",Proton Persona,135318 KM,Automatic,"Selangor, Petaling Jaya"
2016 Honda Jazz 1.5 S Hatchback,RM 524 / month,"RM 40,400",Honda Jazz,125443 KM,Automatic,"Melaka, Melaka"
